,a,alpha,d,theta
0,0.0,0.0,0.333,0.0
1,-0.0,-1.5707963267948963,0.0,0.0
2,0.0,1.5707963267948966,-7.01660951563099e-17,0.0
3,0.0825,1.5707963267948963,0.316,0.0
4,0.08249999999999996,1.5707963267948968,-8.66254646928058e-17,1.5707926535897931
5,1.1102230246251565e-16,-1.5707963267948968,0.3840000000000001,0.0
6,-0.08799999999999997,-1.5707963267948963,4.594213822849187e-17,0.0
7,1.340052520551616e-16,1.5707963267948968,0.16539999999999994,-0.7853981633974485
